distance_ground_m,rsrp_dbm,elevation_geom_deg,antenna_corr_db,rsrp_corrected_dbm
1309.904959840204,-119.8,-5.060686143352398,0.0,-119.8
1317.9332124531204,-117.4,-5.03001736485734,0.0,-117.4
1330.2338179448348,-115.65,-4.983787083142573,0.0,-115.65
1342.4069358450313,-115.2,-4.938771728940122,0.0,-115.2
1350.2727330109185,-115.1,-4.910142770076649,0.0,-115.1
1358.193444930435,-114.7,-4.881646580880296,0.0,-114.7
1370.2069401330182,-115.1,-4.839091628208324,0.0,-115.1
1382.1953429968205,-115.3,-4.797275616445107,0.0,-115.3
1390.0818778791358,-115.2,-4.770184550517359,0.0,-115.2
1398.032452527694,-114.5,-4.7431807573169245,0.0,-114.5
1410.0842195185671,-113.5,-4.7028619542330805,0.0,-113.5
1422.3153709100868,-113.6,-4.662561453686671,0.0,-113.6
1430.601274283364,-113.7,-4.635674389188444,0.0,-113.7
1438.869559063034,-114.4,-4.609151168604537,0.0,-114.4
1447.105535803463,-114.0,-4.583030967567622,0.0,-114.0
1459.4944165701856,-113.4,-4.544329518442377,0.0,-113.4
1472.2143335435346,-113.4,-4.505191361045137,0.0,-113.4
1480.5312508973734,-113.3,-4.47998666241026,0.0,-113.3
1489.0618587009894,-113.9,-4.454425090959794,0.0,-113.9
1497.52999538922,-114.2,-4.429337012973729,0.0,-114.2
1510.3350164175067,-115.0,-4.391965546064033,0.0,-115.0
1523.0234063971998,-116.1,-4.355483438576347,0.0,-116.1
1531.3661563748055,-116.0,-4.331845707564385,0.0,-116.0
1539.7796813947064,-115.1,-4.308265389817847,0.0,-115.1
1548.3358652448574,-114.7,-4.284546593243995,0.0,-114.7
1556.58433405735,-114.8,-4.261926305477429,0.0,-114.8
1569.3958603651995,-115.65,-4.227292818609076,0.0,-115.65
1582.0068905596966,-116.4,-4.193684272850126,0.0,-116.4
1590.4434413664424,-117.1,-4.171517497578456,0.0,-117.1
1599.1404947376354,-117.6,-4.14890980549362,0.0,-117.6
1607.7005195668758,-119.0,-4.12689591854713,0.0,-119.0
1620.4897008282564,-128.8,-4.0944655894237965,0.0,-128.8
1633.1944713521425,-119.2,-4.06269302842815,0.0,-119.2
1642.0013898933278,-117.3,-4.040975047422712,0.0,-117.3
1650.6893018410965,-118.6,-4.019776484194797,0.0,-118.6
1659.4305027926453,-117.7,-3.99867081600058,0.0,-117.7
1668.0703888734165,-117.4,-3.9780260908918015,0.0,-117.4
1676.9045373251554,-116.9,-3.9571360926539785,0.0,-116.9
1689.8831010844456,-116.75,-3.9268657526026276,0.0,-116.75
1703.0420567826443,-116.3,-3.896592298360481,0.0,-116.3
1711.6709494511267,-116.4,-3.877008816621609,0.0,-116.4
1720.7195095787054,-117.3,-3.85668290153674,0.0,-117.3
1729.7071255856995,-118.5,-3.83670345557855,0.0,-118.5
1738.5952278513537,-125.3,-3.8171474716319858,0.0,-125.3
1747.536407875439,-128.0,-3.7976745306021233,0.0,-128.0
1756.362256012325,-123.0,-3.7786463651076816,0.0,-123.0
1769.5707209430004,-126.65,-3.7505454716266624,0.0,-126.65
1782.604182338889,-122.2,-3.723178089277265,0.0,-122.2
1791.2134771802753,-117.6,-3.7053329653888207,0.0,-117.6
1799.8324211449954,-119.3,-3.6876381376262346,0.0,-119.3
1808.3716434568355,-120.6,-3.670272633683599,0.0,-120.6
1816.937008915069,-128.9,-3.653017274593178,0.0,-128.9
1829.6656779017796,-121.7,-3.6276909995474154,0.0,-121.7
1842.0317787557208,-119.8,-3.60338271595134,0.0,-119.8
1850.217826101808,-128.0,-3.58748174697136,0.0,-128.0
1858.2530325244445,-124.5,-3.572009494111989,0.0,-124.5
1870.2133319251866,-121.05,-3.5492409750178475,0.0,-121.05
1882.362406931008,-122.2,-3.5263752449327086,0.0,-122.2
1890.5008809917435,-121.5,-3.511232507590257,0.0,-121.5
1898.7189654854683,-123.0,-3.4960728757676613,0.0,-123.0
1907.0953969141872,-125.0,-3.480755101370381,0.0,-125.0
1919.4769014858607,-125.25,-3.45837205242756,0.0,-125.25
1931.715367279184,-130.2,-3.436499412971884,0.0,-130.2
1939.9541453552,-126.0,-3.421939721193133,0.0,-126.0
1948.0511787512144,-137.2,-3.4077500899144257,0.0,-137.2
1959.8731572659221,-133.05,-3.3872562384093206,0.0,-133.05
1971.81862070454,-140.0,-3.3667696176737123,0.0,-140.0
1979.8406648257371,-129.6,-3.353159117216756,0.0,-129.6
1987.8912709423407,-114.5,-3.3396102175804026,0.0,-114.5
1999.926543207181,-123.45,-3.3195714692679186,0.0,-123.45
2011.757254695452,-125.2,-3.3000796665663223,0.0,-125.2
2019.5690055250373,-133.8,-3.287342913016948,0.0,-133.8
2027.3688781629637,-117.9,-3.2747231350222767,0.0,-117.9
2039.1003736596617,-118.44999999999999,-3.255935907873029,0.0,-118.44999999999999
2051.1355552765563,-118.6,-3.2368598019691683,0.0,-118.6
2059.209768836886,-116.7,-3.224194821924852,0.0,-116.7
2067.329126106061,-116.7,-3.2115584769875363,0.0,-116.7
2079.4577848579984,-114.6,-3.192877509075049,0.0,-114.6
2091.503281070657,-112.2,-3.1745147872555632,0.0,-112.2
2099.8089020492903,-109.3,-3.1619837855096216,0.0,-109.3
2107.9846608558887,-109.3,-3.1497448617589887,0.0,-109.3
2120.531350380449,-106.2,-3.1311580079982377,0.0,-106.2
2133.2218137763844,-103.8,-3.112555404820259,0.0,-103.8
2141.513190025852,-103.8,-3.1005279666188907,0.0,-103.8
2149.9182115894528,-101.1,-3.088430085133578,0.0,-101.1
2158.315554926012,-101.1,-3.076437078617576,0.0,-101.1
2166.711083483322,-101.1,-3.064539327796944,0.0,-101.1
2179.5085837919996,-99.0,-3.046590654206213,0.0,-99.0
2192.229513368471,-100.9,-3.028933677429678,0.0,-100.9
2200.60714540676,-100.9,-3.0174239857874587,0.0,-100.9
2208.6895905051038,-101.3,-3.00640236386376,0.0,-101.3
2217.079349789114,-101.3,-2.995046440936131,0.0,-101.3
2229.6917485440226,-101.19999999999999,-2.9781457944262786,0.0,-101.19999999999999
2242.3374436786585,-101.1,-2.961370089019752,0.0,-101.1
2250.5131874466306,-100.4,-2.950630964600092,0.0,-100.4
2258.847639623769,-100.4,-2.93976317722297,0.0,-100.4
2267.020987849436,-114.2,-2.9291828658994588,0.0,-114.2
2279.576721454536,-112.94999999999999,-2.9130867541466183,0.0,-112.94999999999999
2291.941624958004,-110.2,-2.8973879729243426,0.0,-110.2
2300.178743339633,-112.7,-2.887029787041484,0.0,-112.7
2308.433323690071,-111.9,-2.876723612139916,0.0,-111.9
2316.695107497791,-109.9,-2.866481798570182,0.0,-109.9
2329.018514773953,-111.9,-2.8513480811413943,0.0,-111.9
2341.2534712330803,-113.7,-2.836463462675769,0.0,-113.7
2349.4520933977938,-111.1,-2.826581450933834,0.0,-111.1
2357.551815850839,-112.0,-2.81688597472036,0.0,-112.0
2370.096842980383,-106.9,-2.802008620912952,0.0,-106.9
2382.56646856283,-109.8,-2.787358272789764,0.0,-109.8
2390.968137630634,-107.5,-2.7775790860387994,0.0,-107.5
2399.237612886145,-99.9,-2.768020492458096,0.0,-99.9
2407.656055742966,-101.4,-2.758356998052764,0.0,-101.4
2420.119536553245,-101.8,-2.744181229183377,0.0,-101.8
2432.468386134085,-101.7,-2.730263242369185,0.0,-101.7
2440.766328478207,-101.1,-2.7209950628358173,0.0,-101.1
2448.8911268127144,-103.7,-2.7119809927937117,0.0,-103.7
2457.1537854159383,-103.3,-2.702874974511021,0.0,-103.3
2469.4793027781443,-101.4,-2.6894120446607515,0.0,-101.4
2481.8502756234825,-103.0,-2.676018395823839,0.0,-103.0
2490.0509390456696,-104.6,-2.6672180202958056,0.0,-104.6
2498.225259132406,-107.8,-2.6585032885290247,0.0,-107.8
2510.2508342677847,-105.35,-2.645792205497123,0.0,-105.35
2522.117009992993,-101.4,-2.6333551840444267,0.0,-101.4
2530.090368299879,-97.7,-2.62506802254178,0.0,-97.7
2537.780074541873,-96.2,-2.617124901881066,0.0,-96.2
2549.264406680886,-99.35,-2.605356873372144,0.0,-99.35
2560.873946707556,-105.4,-2.593556133117913,0.0,-105.4
2568.556150902333,-105.8,-2.58580970174999,0.0,-105.8
2579.747308570806,-107.69999999999999,-2.5746129344351134,0.0,-107.69999999999999
2591.155563979175,-108.2,-2.5632871264509363,0.0,-108.2
2598.9340451302955,-109.9,-2.555625521427521,0.0,-109.9
2610.657862757562,-110.8,-2.5441695317254815,0.0,-110.8
2622.42616158459,-110.9,-2.53276176284512,0.0,-110.9
2630.3619937039102,-110.7,-2.525130297519998,0.0,-110.7
2638.416931985312,-110.0,-2.5174311498665114,0.0,-110.0
2646.6963225034765,-109.6,-2.509566210250678,0.0,-109.6
2659.187471158785,-109.8,-2.49779885109877,0.0,-109.8
2671.4817944852343,-111.2,-2.486312313397001,0.0,-111.2
2679.648724332046,-110.2,-2.478744092715673,0.0,-110.2
2687.934943314868,-109.5,-2.471112242790355,0.0,-109.5
2700.432791853772,-109.7,-2.459695709711432,0.0,-109.7
2713.0115879723367,-109.0,-2.4482994215701925,0.0,-109.0
2721.475417768512,-108.6,-2.4406943954787184,0.0,-108.6
2730.2122122177334,-107.8,-2.432893470050461,0.0,-107.8
2738.907797937986,-105.7,-2.4251786669013176,0.0,-105.7
2747.484037567865,-104.3,-2.4176174961322707,0.0,-104.3
2760.427097596191,-102.25,-2.406301162315816,0.0,-102.25
2773.6487665196846,-99.4,-2.394838005064835,0.0,-99.4
2782.3179104369624,-98.4,-2.387384818016804,0.0,-98.4
2790.9251566393486,-98.8,-2.3800305748227606,0.0,-98.8
2799.6387771846585,-99.2,-2.3726314252889464,0.0,-99.2
2808.2014853959367,-99.6,-2.3654050780785014,0.0,-99.6
2816.7113079669125,-99.7,-2.358266818356872,0.0,-99.7
2829.5328629986707,-96.65,-2.3475981981560246,0.0,-96.65
2842.3390674038533,-95.0,-2.337027347150632,0.0,-95.0
2850.680320098817,-95.4,-2.330196621219367,0.0,-95.4
2859.1140258193027,-94.3,-2.323330639254679,0.0,-94.3
2867.769293761905,-94.5,-2.3163262011006904,0.0,-94.5
2880.1116907830624,-96.1,-2.306415284421081,0.0,-96.1
2892.527674297239,-98.2,-2.2965210947076886,0.0,-98.2
2900.850170593628,-99.4,-2.289939433770232,0.0,-99.4
2909.24295777355,-98.6,-2.283340258979068,0.0,-98.6
2917.512401905571,-96.8,-2.2768751436859382,0.0,-96.8
2930.031258650195,-95.9,-2.2671617931147248,0.0,-95.9
2942.3027549749763,-96.0,-2.25771128271004,0.0,-96.0
2950.39572472886,-95.6,-2.2515247366923754,0.0,-95.6
2958.6210054031512,-100.9,-2.2452716739527805,0.0,-100.9
2970.6785740007113,-108.5,-2.2361716528961626,0.0,-108.5
2982.8720457448726,-107.3,-2.227035851947719,0.0,-107.3
2990.74324667504,-106.2,-2.221180496155841,0.0,-106.2
2998.695300811537,-108.5,-2.215296161622845,0.0,-108.5
3010.3908379399827,-106.0,-2.206701674187574,0.0,-106.0
3021.897182391021,-106.7,-2.1983040490591383,0.0,-106.7
3029.786501833137,-107.2,-2.1925854368950186,0.0,-107.2
3037.51105773865,-107.3,-2.187014994139685,0.0,-107.3
3049.1948521296117,-107.25,-2.1786464246332065,0.0,-107.25
3060.906094623143,-107.5,-2.170315305075545,0.0,-107.5
