timestamp,rsrp_dbm,snr,plmn,latitude,longitude,distance_m
2026-04-20T14:39:42.223303,-120.0,"-8,5 dB",99970,57.01434610,9.98532800,144.55
2026-04-20T14:39:43.345156,-112.0,"-6,0 dB",99970,57.01435360,9.98523030,150.39
2026-04-20T14:39:44.465192,-112.0,"-8,5 dB",99970,57.01435794,9.98522679,150.75
2026-04-20T14:39:45.585151,-113.0,"-8,0 dB",99970,57.01436040,9.98492740,167.99
2026-04-20T14:39:46.705081,-119.0,"-8,5 dB",99970,57.01435919,9.98492641,168.01
2026-04-20T14:39:47.825194,-117.0,"-10,5 dB",99970,57.01436140,9.98473780,178.98
2026-04-20T14:39:48.945217,-110.0,"-7,5 dB",99970,57.01436320,9.98464750,184.28
2026-04-20T14:39:50.032334,-114.0,"-4,0 dB",99970,57.01436403,9.98464225,184.61
2026-04-20T14:39:51.121280,-118.0,"-12,0 dB",99970,57.01436460,9.98447450,194.39
2026-04-20T14:39:52.240374,-115.0,"-9,5 dB",99970,57.01436520,9.98440400,198.52
2026-04-20T14:39:53.329340,-114.0,"-7,5 dB",99970,57.01436494,9.98440672,198.35
2026-04-20T14:39:54.449272,-119.0,"-11,5 dB",99970,57.01436310,9.98432110,203.31
2026-04-20T14:39:55.569404,-109.0,"-7,5 dB",99970,57.01436153,9.98431996,203.33
2026-04-20T14:39:56.657257,-110.0,"-8,5 dB",99970,57.01435100,9.98430800,203.74
2026-04-20T14:39:57.777494,-108.0,"-3,0 dB",99970,57.01434650,9.98430070,204.04
2026-04-20T14:39:58.865160,-113.0,"-9,0 dB",99970,57.01434800,9.98429804,204.24
2026-04-20T14:39:59.984750,-113.0,"-10,5 dB",99970,57.01434470,9.98425980,206.39
2026-04-20T14:40:01.072509,-109.0,"-9,0 dB",99970,57.01433650,9.98422400,208.28
2026-04-20T14:40:02.161379,-117.0,"-7,5 dB",99970,57.01433838,9.98422748,208.13
2026-04-20T14:40:03.249444,-123.0,"-15,5 dB",99970,57.01428560,9.98416430,210.56
2026-04-20T14:41:50.770266,-88.0,"5,5 dB",23801,57.01092525,9.99417824,518.91
2026-04-20T14:41:51.890559,-110.0,"-20,0 dB",23801,57.01092180,9.99427480,523.68
2026-04-20T14:43:18.099091,,,000000,57.01531373,9.99441499,443.46
2026-04-20T14:43:19.219067,,,000000,57.01524800,9.99439540,439.80
2026-04-20T14:43:38.227492,,,000000,57.01359576,9.99425734,406.34
2026-04-20T14:43:39.347616,,,000000,57.01349705,9.99426405,407.79
2026-04-20T14:43:40.467386,,,000000,57.01340560,9.99425270,408.34
2026-04-20T14:43:41.747726,-103.0,"2,0 dB",99970,57.01322073,9.99425461,411.71
2026-04-20T14:43:42.867652,-99.0,"9,5 dB",99970,57.01312660,9.99424890,413.41
2026-04-20T14:43:43.987673,-95.0,"7,0 dB",99970,57.01303440,9.99425183,415.82
2026-04-20T14:43:45.297985,-100.0,"5,0 dB",99970,57.01294058,9.99425854,418.74
2026-04-20T14:43:46.385974,-105.0,"-2,0 dB",99970,57.01284980,9.99426560,421.83
2026-04-20T14:43:47.507646,-105.0,"0,5 dB",99970,57.01268006,9.99430345,429.59
2026-04-20T14:43:48.627649,-108.0,"-4,5 dB",99970,57.01260810,9.99431930,433.08
2026-04-20T14:43:49.714327,-108.0,"-4,5 dB",99970,57.01254670,9.99433401,436.22
2026-04-20T14:43:50.804127,-109.0,"-1,5 dB",99970,57.01249233,9.99435215,439.37
2026-04-20T14:43:51.924206,-112.0,"-9,5 dB",99970,57.01245020,9.99437710,442.46
2026-04-20T14:43:53.044263,-115.0,"-8,0 dB",99970,57.01241204,9.99438078,444.23
2026-04-20T14:43:54.164137,-116.0,"-9,0 dB",99970,57.01239101,9.99439128,445.69
2026-04-20T14:43:55.284017,-117.0,"-10,0 dB",99970,57.01236590,9.99437240,445.69
2026-04-20T14:43:56.403964,-118.0,"-10,5 dB",99970,57.01234928,9.99434743,445.00
2026-04-20T14:43:57.524169,-120.0,"-5,0 dB",99970,57.01233880,9.99428720,442.10
2026-04-20T14:43:58.644191,-117.0,"-7,5 dB",99970,57.01232999,9.99424160,439.95
2026-04-20T14:43:59.764171,-123.0,"-18,0 dB",99970,57.01232780,9.99417390,436.28
2026-04-20T14:44:00.883884,-124.0,"-20,0 dB",99970,57.01232480,9.99411100,432.93
2026-04-20T14:44:01.970711,-122.0,"-9,5 dB",99970,57.01232810,9.99404700,429.24
2026-04-20T14:44:03.059709,-138.0,"-20,0 dB",99970,57.01234707,9.99399559,425.54
2026-04-20T14:44:38.900879,-109.0,"-3,0 dB",99970,57.01232223,9.99430359,443.73
2026-04-20T14:44:40.020428,-111.0,"-2,5 dB",99970,57.01232530,9.99430160,443.49
